p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.07   0.008  BASICTOOL     -1.0          1.0           -1.0          0.458         2.833         0.001         0.573         2.287         0.001         0.869         0.546         0.001         49942.0       0.0           
0.08   0.008  BASICTOOL     -1.0          1.0           -1.0          0.308         3.897         0.001         0.416         3.247         0.001         0.862         0.65          0.001         49945.0       0.0           
0.09   0.008  BASICTOOL     -1.0          1.0           -1.0          0.183         4.91          0.001         0.31          3.953         0.001         0.832         0.957         0.001         49947.0       0.0           
0.1    0.008  BASICTOOL     -1.0          1.0           -1.0          0.081         5.859         0.001         0.205         4.639         0.001         0.806         1.219         0.001         49947.0       0.0           
-1     0.009000000000000001SCOPA         -1.0          1.0           0.0           0.657         1.789         0.001         0.677         1.805         0.001         0.971         -0.016        0.001         50000.0       0.0           
0.0    0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.683         -4.052        0.005         0.834         -1.991        0.004         0.831         -2.061        0.004         49067.0       0.0           
0.01   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.683         -4.052        0.005         0.834         -1.991        0.004         0.831         -2.061        0.004         49067.0       0.0           
0.02   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.738         -3.031        0.004         0.864         -1.48         0.003         0.86          -1.552        0.003         49067.0       0.0           
0.03   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.922         -0.518        0.002         0.96          -0.261        0.002         0.958         -0.257        0.002         49460.0       0.0           
0.04   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.892         -0.241        0.001         0.956         -0.163        0.001         0.934         -0.077        0.001         49814.0       0.0           
0.05   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.83          0.359         0.001         0.937         0.08          0.001         0.889         0.279         0.001         49921.0       0.0           
0.06   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.725         1.168         0.001         0.834         0.765         0.001         0.883         0.403         0.0           49932.0       0.0           
0.07   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.471         2.723         0.001         0.584         2.199         0.001         0.868         0.524         0.001         49936.0       0.0           
0.08   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.319         3.81          0.001         0.428         3.166         0.001         0.861         0.644         0.001         49938.0       0.0           
0.09   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.194         4.816         0.001         0.32          3.877         0.001         0.831         0.939         0.001         49938.0       0.0           
0.1    0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.089         5.779         0.001         0.212         4.586         0.001         0.806         1.193         0.001         49938.0       0.0           
-1     0.01   SCOPA         -1.0          1.0           0.0           0.653         1.784         0.001         0.675         1.806         0.001         0.968         -0.022        0.001         50000.0       0.0           
