p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.06   0.007  BASICTOOL     -1.0          1.0           0.0           0.879         0.147         0.002         0.949         -0.845        0.018         0.904         0.992         0.01          26366.0       0.0           
0.07   0.007  BASICTOOL     -1.0          1.0           0.0           0.869         0.29          0.002         0.946         -0.964        0.019         0.893         1.254         0.012         26371.0       0.0           
0.08   0.007  BASICTOOL     -1.0          1.0           0.0           0.84          0.563         0.002         0.946         -0.965        0.019         0.864         1.528         0.01          26390.0       0.0           
0.09   0.007  BASICTOOL     -1.0          1.0           0.0           0.795         1.074         0.003         0.951         -0.822        0.017         0.818         1.896         0.008         26773.0       0.0           
0.1    0.007  BASICTOOL     -1.0          1.0           0.0           0.76          1.417         0.003         0.946         -0.939        0.018         0.78          2.356         0.008         27500.0       0.0           
-1     0.008  SCOPA         -1.0          1.0           0.0           0.703         0.529         0.002         0.769         -3.925        0.013         0.816         4.454         0.014         55605.0       0.0           
0.0    0.008  BASICTOOL     -1.0          1.0           0.0           0.862         -1.211        0.006         0.915         -0.964        0.01          0.932         -0.247        0.012         23700.0       0.0           
0.01   0.008  BASICTOOL     -1.0          1.0           0.0           0.862         -1.211        0.006         0.915         -0.964        0.01          0.932         -0.247        0.012         23700.0       0.0           
0.02   0.008  BASICTOOL     -1.0          1.0           0.0           0.883         -0.817        0.005         0.927         -0.788        0.01          0.942         -0.029        0.011         23700.0       0.0           
0.03   0.008  BASICTOOL     -1.0          1.0           0.0           0.907         -0.453        0.003         0.94          -0.6          0.009         0.955         0.147         0.011         23748.0       0.0           
0.04   0.008  BASICTOOL     -1.0          1.0           0.0           0.928         -0.2          0.002         0.957         -0.473        0.011         0.961         0.273         0.011         24392.0       0.0           
0.05   0.008  BASICTOOL     -1.0          1.0           0.0           0.904         -0.086        0.002         0.944         -0.873        0.016         0.934         0.787         0.014         26313.0       0.0           
0.06   0.008  BASICTOOL     -1.0          1.0           0.0           0.876         0.109         0.002         0.946         -0.863        0.017         0.905         0.972         0.01          26314.0       0.0           
0.07   0.008  BASICTOOL     -1.0          1.0           0.0           0.867         0.249         0.002         0.942         -0.995        0.018         0.894         1.245         0.012         26331.0       0.0           
0.08   0.008  BASICTOOL     -1.0          1.0           0.0           0.839         0.511         0.002         0.942         -0.997        0.018         0.865         1.508         0.01          26365.0       0.0           
0.09   0.008  BASICTOOL     -1.0          1.0           0.0           0.793         1.028         0.003         0.946         -0.858        0.016         0.818         1.887         0.008         26759.0       0.0           
0.1    0.008  BASICTOOL     -1.0          1.0           0.0           0.757         1.371         0.003         0.942         -0.97         0.017         0.781         2.341         0.008         27499.0       0.0           
-1     0.009000000000000001SCOPA         -1.0          1.0           0.0           0.7           0.6           0.002         0.768         -3.905        0.013         0.812         4.506         0.014         55604.0       0.0           
0.0    0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.845         -1.354        0.006         0.908         -1.038        0.01          0.922         -0.315        0.011         23510.0       0.0           
0.01   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.845         -1.354        0.006         0.908         -1.038        0.01          0.922         -0.315        0.011         23510.0       0.0           
0.02   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.869         -0.902        0.005         0.921         -0.835        0.009         0.933         -0.067        0.01          23510.0       0.0           
0.03   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.896         -0.51         0.003         0.935         -0.637        0.009         0.948         0.126         0.011         23565.0       0.0           
0.04   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.922         -0.225        0.002         0.952         -0.505        0.011         0.958         0.28          0.011         24282.0       0.0           
0.05   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.9           -0.109        0.002         0.94          -0.893        0.015         0.934         0.784         0.014         26379.0       0.0           
0.06   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.873         0.09          0.002         0.942         -0.873        0.016         0.904         0.963         0.01          26380.0       0.0           
0.07   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.863         0.233         0.002         0.938         -1.015        0.017         0.893         1.248         0.012         26389.0       0.0           
0.08   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.835         0.5           0.002         0.938         -1.015        0.017         0.864         1.514         0.01          26429.0       0.0           
0.09   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.791         0.996         0.003         0.943         -0.864        0.015         0.818         1.86          0.008         26838.0       0.0           
0.1    0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.756         1.347         0.003         0.939         -0.973        0.016         0.781         2.321         0.008         27585.0       0.0           
-1     0.01   SCOPA         -1.0          1.0           0.0           0.695         0.517         0.002         0.764         -3.974        0.013         0.81          4.491         0.014         55701.0       0.0           
0.0    0.01   BASICTOOL     -1.0          1.0           0.0           0.832         -1.462        0.006         0.898         -1.112        0.009         0.917         -0.35         0.011         23116.0       0.0           
0.01   0.01   BASICTOOL     -1.0          1.0           0.0           0.832         -1.462        0.006         0.898         -1.112        0.009         0.917         -0.35         0.011         23116.0       0.0           
0.02   0.01   BASICTOOL     -1.0          1.0           0.0           0.858         -0.978        0.005         0.912         -0.877        0.009         0.929         -0.1          0.01          23116.0       0.0           
0.03   0.01   BASICTOOL     -1.0          1.0           0.0           0.886         -0.545        0.003         0.927         -0.674        0.008         0.946         0.129         0.01          23183.0       0.0           
0.04   0.01   BASICTOOL     -1.0          1.0           0.0           0.913         -0.246        0.002         0.946         -0.519        0.01          0.955         0.274         0.01          23995.0       0.0           
