p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.09   0.006  BASICTOOL     -1.0          1.0           -1.0          0.303         -6.11         0.02          0.413         -10.406       0.114         0.77          4.296         0.167         12085.0       0.0           
0.1    0.006  BASICTOOL     -1.0          1.0           -1.0          0.271         -5.993        0.022         0.405         -11.742       0.142         0.71          5.75          0.164         12277.0       0.0           
-1     0.007  SCOPA         -1.0          1.0           0.0           0.961         -0.207        0.002         0.982         -1.244        0.398         0.975         1.037         0.236         50000.0       0.0           
0.0    0.007  BASICTOOL     -1.0          1.0           -1.0          0.336         -10.025       0.027         0.394         -9.766        0.059         0.885         -0.259        0.128         12352.0       0.0           
0.01   0.007  BASICTOOL     -1.0          1.0           -1.0          0.336         -10.025       0.027         0.394         -9.766        0.059         0.885         -0.259        0.128         12352.0       0.0           
0.02   0.007  BASICTOOL     -1.0          1.0           -1.0          0.349         -9.472        0.026         0.404         -9.513        0.059         0.894         0.041         0.134         12352.0       0.0           
0.03   0.007  BASICTOOL     -1.0          1.0           -1.0          0.419         -7.839        0.024         0.445         -8.734        0.061         0.943         0.895         0.231         12415.0       0.0           
0.04   0.007  BASICTOOL     -1.0          1.0           -1.0          0.387         -7.61         0.022         0.428         -8.679        0.057         0.93          1.069         0.182         12626.0       0.0           
0.05   0.007  BASICTOOL     -1.0          1.0           -1.0          0.376         -7.551        0.021         0.421         -8.753        0.056         0.915         1.202         0.146         12790.0       0.0           
0.06   0.007  BASICTOOL     -1.0          1.0           -1.0          0.361         -7.336        0.021         0.413         -8.671        0.055         0.897         1.334         0.12          12790.0       0.0           
0.07   0.007  BASICTOOL     -1.0          1.0           -1.0          0.327         -7.002        0.02          0.406         -8.574        0.055         0.855         1.573         0.086         12794.0       0.0           
0.08   0.007  BASICTOOL     -1.0          1.0           -1.0          0.308         -6.689        0.019         0.397         -8.48         0.054         0.828         1.792         0.073         12800.0       0.0           
0.09   0.007  BASICTOOL     -1.0          1.0           -1.0          0.283         -6.556        0.019         0.384         -10.456       0.092         0.779         3.9           0.144         12996.0       0.0           
0.1    0.007  BASICTOOL     -1.0          1.0           -1.0          0.253         -6.408        0.02          0.376         -11.717       0.118         0.723         5.308         0.146         13187.0       0.0           
-1     0.008  SCOPA         -1.0          1.0           0.0           0.955         -0.221        0.002         0.979         -1.253        0.351         0.972         1.031         0.208         49900.0       0.0           
0.0    0.008  BASICTOOL     -1.0          1.0           -1.0          0.303         -10.409       0.025         0.364         -9.898        0.05          0.873         -0.511        0.1           13073.0       0.0           
0.01   0.008  BASICTOOL     -1.0          1.0           -1.0          0.303         -10.409       0.025         0.364         -9.898        0.05          0.873         -0.511        0.1           13073.0       0.0           
0.02   0.008  BASICTOOL     -1.0          1.0           -1.0          0.318         -9.705        0.023         0.376         -9.551        0.049         0.884         -0.154        0.104         13073.0       0.0           
0.03   0.008  BASICTOOL     -1.0          1.0           -1.0          0.392         -7.958        0.021         0.419         -8.676        0.05          0.939         0.718         0.178         13143.0       0.0           
0.04   0.008  BASICTOOL     -1.0          1.0           -1.0          0.363         -7.706        0.019         0.404         -8.615        0.047         0.928         0.909         0.144         13380.0       0.0           
0.05   0.008  BASICTOOL     -1.0          1.0           -1.0          0.353         -7.682        0.019         0.396         -8.735        0.046         0.915         1.053         0.118         13611.0       0.0           
0.06   0.008  BASICTOOL     -1.0          1.0           -1.0          0.338         -7.467        0.018         0.388         -8.664        0.045         0.896         1.197         0.097         13612.0       0.0           
0.07   0.008  BASICTOOL     -1.0          1.0           -1.0          0.31          -7.171        0.018         0.383         -8.589        0.045         0.856         1.417         0.071         13614.0       0.0           
0.08   0.008  BASICTOOL     -1.0          1.0           -1.0          0.291         -6.871        0.017         0.373         -8.493        0.044         0.832         1.622         0.061         13622.0       0.0           
0.09   0.008  BASICTOOL     -1.0          1.0           -1.0          0.266         -6.722        0.017         0.362         -10.296       0.076         0.782         3.573         0.123         13818.0       0.0           
0.1    0.008  BASICTOOL     -1.0          1.0           -1.0          0.239         -6.599        0.018         0.354         -11.53        0.099         0.727         4.931         0.127         14022.0       0.0           
-1     0.009000000000000001SCOPA         -1.0          1.0           0.0           0.95          -0.233        0.002         0.976         -1.258        0.312         0.969         1.025         0.188         49900.0       0.0           
0.0    0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.272         -10.858       0.023         0.335         -10.153       0.044         0.863         -0.705        0.083         13807.0       0.0           
0.01   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.272         -10.858       0.023         0.335         -10.153       0.044         0.863         -0.705        0.083         13807.0       0.0           
0.02   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.288         -10.168       0.022         0.346         -9.8          0.043         0.875         -0.368        0.087         13807.0       0.0           
0.03   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.361         -8.326        0.02          0.39          -8.904        0.044         0.934         0.578         0.146         13887.0       0.0           
0.04   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.335         -8.094        0.018         0.375         -8.87         0.041         0.925         0.777         0.122         14242.0       0.0           
0.05   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.328         -8.053        0.018         0.369         -8.974        0.04          0.912         0.921         0.098         14522.0       0.0           
0.06   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.316         -7.798        0.017         0.362         -8.886        0.039         0.894         1.088         0.081         14525.0       0.0           
0.07   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.29          -7.478        0.016         0.356         -8.812        0.039         0.855         1.334         0.06          14529.0       0.0           
0.08   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.274         -7.184        0.016         0.347         -8.725        0.038         0.831         1.541         0.052         14543.0       0.0           
0.09   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.249         -7.055        0.016         0.336         -10.507       0.067         0.783         3.452         0.11          14758.0       0.0           
0.1    0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.223         -6.873        0.016         0.33          -11.498       0.082         0.728         4.625         0.109         14951.0       0.0           
-1     0.01   SCOPA         -1.0          1.0           0.0           0.944         -0.248        0.002         0.975         -1.263        0.288         0.965         1.015         0.169         49900.0       0.0           
0.0    0.01   BASICTOOL     -1.0          1.0           -1.0          0.249         -11.4         0.023         0.314         -10.626       0.043         0.85          -0.774        0.075         14453.0       0.0           
0.01   0.01   BASICTOOL     -1.0          1.0           -1.0          0.249         -11.4         0.023         0.314         -10.626       0.043         0.85          -0.774        0.075         14453.0       0.0           
0.02   0.01   BASICTOOL     -1.0          1.0           -1.0          0.264         -10.701       0.022         0.324         -10.267       0.042         0.864         -0.434        0.079         14453.0       0.0           
0.03   0.01   BASICTOOL     -1.0          1.0           -1.0          0.344         -8.709        0.019         0.369         -9.294        0.042         0.93          0.585         0.135         14540.0       0.0           
0.04   0.01   BASICTOOL     -1.0          1.0           -1.0          0.317         -8.452        0.017         0.354         -9.207        0.038         0.924         0.755         0.112         14962.0       0.0           
0.05   0.01   BASICTOOL     -1.0          1.0           -1.0          0.311         -8.422        0.017         0.349         -9.321        0.037         0.913         0.898         0.091         15314.0       0.0           
0.06   0.01   BASICTOOL     -1.0          1.0           -1.0          0.3           -8.193        0.017         0.343         -9.233        0.036         0.898         1.04          0.078         15319.0       0.0           
