p    e    name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.1            0.07           BASICTOOL     -1.0          0.993         1.0           0.513         -1.359        0.002         0.713         -0.599        0.001         0.72          -0.76         0.001         47600.0       0.0           
0.15           0.07           BASICTOOL     -1.0          0.999         1.0           0.371         3.056         0.001         0.576         2.195         0.001         0.685         0.861         0.001         47600.0       0.0           
0.2            0.07           BASICTOOL     -1.0          1.0           1.0           0.18          8.718         0.003         0.343         6.804         0.003         0.646         1.914         0.002         47600.0       0.0           
0.25           0.07           BASICTOOL     -1.0          1.0           1.0           0.071         14.8          0.006         0.186         11.572        0.005         0.591         3.228         0.003         47600.0       0.0           
0.3            0.07           BASICTOOL     -1.0          1.0           0.998         0.038         19.959        0.011         0.09          16.108        0.008         0.563         3.851         0.003         47600.0       0.0           
0.35           0.07           BASICTOOL     -1.0          1.0           0.994         0.017         26.303        0.018         0.032         22.337        0.014         0.559         3.966         0.003         47600.0       0.0           
0.4            0.07           BASICTOOL     -1.0          1.0           0.98          0.009         34.381        0.031         0.013         30.331        0.026         0.553         4.051         0.003         47600.0       0.0           
0.45           0.07           BASICTOOL     -1.0          1.0           0.941         0.006         45.411        0.055         0.009         41.382        0.048         0.554         4.028         0.003         47600.0       0.0           
0.5            0.07           BASICTOOL     -1.0          1.0           0.82          0.005         64.264        0.105         0.006         60.169        0.095         0.547         4.095         0.003         47600.0       0.0           
0.55           0.07           BASICTOOL     -1.0          1.0           0.663         0.003         87.478        0.195         0.004         83.587        0.183         0.527         3.89          0.01          47600.0       0.0           
-1             0.08           SCOPA         -1.0          1.0           1.0           0.604         -1.12         0.0           0.779         -0.555        0.0           0.777         -0.566        0.0           47600.0       0.0           
0.05           0.08           BASICTOOL     -1.0          0.913         1.0           0.232         -13.013       0.01          0.49          -6.361        0.006         0.478         -6.652        0.006         47600.0       0.0           
0.1            0.08           BASICTOOL     -1.0          0.988         1.0           0.471         -2.699        0.002         0.68          -1.252        0.002         0.686         -1.448        0.002         47600.0       0.0           
