p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.07   0.005  BASICTOOL     -1.0          1.0           0.0           0.92          0.299         0.001         0.939         0.254         0.001         0.98          0.045         0.001         39540.0       0.0           
0.08   0.005  BASICTOOL     -1.0          1.0           0.0           0.9           0.434         0.001         0.924         0.358         0.001         0.974         0.076         0.001         39559.0       0.0           
0.09   0.005  BASICTOOL     -1.0          1.0           0.0           0.875         0.644         0.001         0.902         0.549         0.001         0.971         0.095         0.001         39754.0       0.0           
0.1    0.005  BASICTOOL     -1.0          1.0           0.0           0.835         0.899         0.001         0.875         0.719         0.001         0.955         0.18          0.001         40544.0       0.0           
-1     0.006  SCOPA         -1.0          1.0           0.0           0.965         0.118         0.005         0.979         0.146         0.008         0.986         -0.029        0.0           46624.0       0.0           
0.0    0.006  BASICTOOL     -1.0          1.0           -1.0          0.888         -1.242        0.005         0.943         -0.595        0.005         0.942         -0.648        0.005         37112.0       0.0           
0.01   0.006  BASICTOOL     -1.0          1.0           -1.0          0.888         -1.242        0.005         0.943         -0.595        0.005         0.942         -0.648        0.005         37112.0       0.0           
0.02   0.006  BASICTOOL     -1.0          1.0           -1.0          0.925         -0.624        0.003         0.961         -0.289        0.003         0.961         -0.335        0.003         37112.0       0.0           
0.03   0.006  BASICTOOL     -1.0          1.0           -1.0          0.952         -0.237        0.001         0.975         -0.117        0.001         0.976         -0.12         0.001         37167.0       0.0           
0.04   0.006  BASICTOOL     -1.0          1.0           -1.0          0.963         -0.043        0.001         0.975         -0.004        0.001         0.987         -0.039        0.001         38002.0       0.0           
0.05   0.006  BASICTOOL     -1.0          1.0           0.0           0.962         0.004         0.0           0.973         0.03          0.0           0.989         -0.026        0.0           39486.0       0.0           
0.06   0.006  BASICTOOL     -1.0          1.0           0.0           0.948         0.108         0.0           0.961         0.105         0.001         0.985         0.004         0.0           39489.0       0.0           
0.07   0.006  BASICTOOL     -1.0          1.0           0.0           0.919         0.288         0.001         0.938         0.245         0.001         0.979         0.043         0.001         39497.0       0.0           
0.08   0.006  BASICTOOL     -1.0          1.0           0.0           0.899         0.419         0.001         0.923         0.346         0.001         0.974         0.073         0.001         39519.0       0.0           
0.09   0.006  BASICTOOL     -1.0          1.0           0.0           0.875         0.626         0.001         0.901         0.534         0.001         0.971         0.092         0.001         39734.0       0.0           
0.1    0.006  BASICTOOL     -1.0          1.0           0.0           0.835         0.875         0.001         0.875         0.701         0.001         0.955         0.174         0.001         40513.0       0.0           
-1     0.007  SCOPA         -1.0          1.0           0.0           0.96          0.111         0.004         0.978         0.147         0.008         0.982         -0.036        0.0           46478.0       0.0           
0.0    0.007  BASICTOOL     -1.0          1.0           -1.0          0.871         -1.38         0.005         0.932         -0.7          0.005         0.934         -0.68         0.005         36657.0       0.0           
0.01   0.007  BASICTOOL     -1.0          1.0           -1.0          0.871         -1.38         0.005         0.932         -0.7          0.005         0.934         -0.68         0.005         36657.0       0.0           
0.02   0.007  BASICTOOL     -1.0          1.0           -1.0          0.91          -0.74         0.003         0.953         -0.367        0.003         0.953         -0.373        0.003         36657.0       0.0           
0.03   0.007  BASICTOOL     -1.0          1.0           -1.0          0.939         -0.294        0.001         0.969         -0.15         0.001         0.969         -0.144        0.001         36702.0       0.0           
0.04   0.007  BASICTOOL     -1.0          1.0           -1.0          0.958         -0.054        0.001         0.974         -0.007        0.001         0.983         -0.047        0.0           37706.0       0.0           
0.05   0.007  BASICTOOL     -1.0          1.0           0.0           0.958         -0.007        0.0           0.972         0.027         0.0           0.985         -0.034        0.0           39429.0       0.0           
0.06   0.007  BASICTOOL     -1.0          1.0           0.0           0.943         0.106         0.0           0.96          0.105         0.001         0.982         0.0           0.0           39430.0       0.0           
